nombre,contrasinal,correo,telefono,valores,cajas,nacimiento,descripcion,username,genero,servidor,rol
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
pedroadmin,DmKm/CTd2DjHE,nopedro@gmail.com,987654321,valor1,cajas3,2022-11-02,saiufoiausdofiuhqwef,PedroAdmin,otro,america,Administrador
pedro,DmOvqkY.tIWFw,pedro@gmail.com,123465789,valor1,cajas1,2022-11-02,asdf,pedropm,hombre,america,Usuario
